DRGDefinition,ProviderId,ProviderName,ProviderStreetAddress,ProviderCity,ProviderState,ProviderZipCode,HospitalReferralRegionDescription,TotalDischarges,AverageCoveredCharges,AverageTotalPayments,AverageMedicarePayments,AUTO_UNIQUE_ID_2018-07-03_beckykelley8_482,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,CensusYear,CensusPlaceFips,CensusMsaFips,CensusMetDivFips,CensusMcdFips,CensusCbsaMicro,CensusCbsaFips,CensusBlock,CensusBlockGroup,CensusTract,CensusCountyFips,CensusStateFips,naaccrCertCode,naaccrCertType,MNumber,MNumberFractional,MPreDirectional,MName,MSuffix,MPostDirectional,MSuiteType,MSuiteNumber,MPostOfficeBoxType,MPostOfficeBoxNumber,MCity,MState,MZip,MZipPlus1,MZipPlus2,MZipPlus3,MZipPlus4,MZipPlus5,MPreQualifier,MPostQualifier,MConsolidatedCity,MMinorCivilDivision,MCountySubRegion,MCounty,MPreType,MPreArticle,MPostArticle,PPostArticle,PPreArticle,PPreType,PNumber,PNumberFractional,PPreDirectional,PName,PSuffix,PPostDirectional,PSuiteType,PSuiteNumber,PPostOfficeBoxType,PPostOfficeBoxNumber,PCity,PState,PZip,PZipPlus1,PZipPlus2,PZipPlus3,PZipPlus4,PZipPlus5,PPreQualifier,PPostQualifier,PConsolidatedCity,PMinorCivilDivision,PCountySubRegion,PCounty,FNumber,FNumberFractional,FPreDirectional,FName,FSuffix,FPostDirectional,FSuiteType,FSuiteNumber,FCity,FState,FZip,FZipPlus1,FZipPlus2,FZipPlus3,FZipPlus4,FZipPlus5,FPreQualifier,FPostQualifier,FConsolidatedCity,FMinorCivilDivision,FCountySubRegion,FCounty,FArea,FAreaType,FGeometry,FSource,FVintage,FPostOfficeBoxType,FPostOfficeBoxNumber,FPrimaryIdField,FPrimaryIdValue,FSecondaryIDField,FSecondaryIDValue,FPreType,FPreArticle,FPostArticle,FGeometrySRID
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,AL - Birmingham,22,22673.63,8645,6990.59,1,USCGeocoder,140.6011,1,4.1,,,09,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,36407403.1181414,ArealInterpolationGeometricCentroid,ZCTA,60,FeatureClassBased,ReturnAll,,ZCTACentroid,,,1,33.6241096635297,-86.6483337528106,Relaxed;Soundex,TwoThousandTen,,0450,,90324,0,13820,6035,6,0111.04,073,01,4,ResidenceZIP,50,,,MEDICAL PARK EAST,DR,,,,,,BIRMINGHAM,AL,35235,,,,,,,,,,,,,,,,,,50,,,MEDICAL PARK EAST,DR,,,,,,BIRMINGHAM,AL,35235,,,,,,,,,,,,,,,,,,,,,AL,35235,,,,,,,,,,,,36407403.12,Meters,,SOURCE_CENSUS_2010_ZCTAS,2010,,,zcta5ce10,35235,,,,,,0
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,AL - Birmingham,14,39732.5,8061.5,7026.35,2,USCGeocoder,140.6319,1,4.1,,,09,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,139125498.075799,ArealInterpolationGeometricCentroid,ZCTA,60,FeatureClassBased,ReturnAll,,ZCTACentroid,,,1,34.4897613700129,-85.7657167089271,Relaxed;Soundex,TwoThousandTen,,0450,,92655,1,22840,2075,2,9604.00,049,01,4,ResidenceZIP,200,,,MED CENTER,DR,,,,,,FORT PAYNE,AL,35968,,,,,,,,,,,,,,,,,,200,,,MED CENTER,DR,,,,,,FORT PAYNE,AL,35968,,,,,,,,,,,,,,,,,,,,,AL,35968,,,,,,,,,,,,139125498.08,Meters,,SOURCE_CENSUS_2010_ZCTAS,2010,,,zcta5ce10,35968,,,,,,0
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,AL - Birmingham,11,34373.18,8496,7684.36,3,USCGeocoder,93.7498,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,33.2521497,-86.8134874,Exact,TwoThousandTen,,0450,,90036,0,13820,1023,1,0303.19,117,01,1,ResidenceStreetAddress,1000,,,FIRST,ST,N,,,,,ALABASTER,AL,35007,,,,,,,,,,,,,,,,,,1000,,,FIRST,ST,N,,,,,ALABASTER,AL,35007,,,,,,,,,,,,1000,,,1ST,ST,N,,,ALABASTER,AL,35007,,,,,,,,,,,Shelby,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,1867419,,,,,,0
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,AL - Birmingham,19,18644.68,8375.47,7602.63,4,USCGeocoder,93.7355,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3116.56895585201,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,34.7458918501208,-87.6989907506798,Exact,TwoThousandTen,69648,2650,,93186,0,22520,2070,2,0203.00,033,01,1,ResidenceStreetAddress,1300,,S,MONTGOMERY,AVE,,,,,,SHEFFIELD,AL,35660,,,,,,,,,,,,,,,,,,1300,,S,MONTGOMERY,AVE,,,,,,SHEFFIELD,AL,35660,,,,,,,,,,,,1200-1398,,S,Montgomery,Ave,,,,Sheffield,AL,35660,,,,,,,,,,Tri-Cities,Colbert,3116.57,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,40759959,,,,,,0
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,AL - Montgomery,37,30748.81,9872.91,8842.21,5,USCGeocoder,93.7008,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,99.4674556213018,FeatureClassBased,ReturnAll,,AddressPoint,,,1,32.3276136,-86.277476,Relaxed,TwoThousandTen,51000,5240,,92214,0,33860,2016,2,0020.00,101,01,1,ResidenceStreetAddress,2105,,E,SOUTH,BLVD,,,,,,MONTGOMERY,AL,36116,,,,,,,,,,,,,,,,,,2105,,E,SOUTH,BLVD,,,,,,MONTGOMERY,AL,36116,,,,,,,,,,,,2105,,E,SOUTH,BLVD,,,,MONTGOMERY,AL,36111,,,,,,,,,,,Montgomery,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,1687107,,,,,,0
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,AL - Montgomery,30,33674.13,8623.8,7356.73,6,USCGeocoder,78.1258,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,32.3669282,-86.2851162,Exact,TwoThousandTen,51000,5240,,92214,0,33860,2035,2,0006.00,101,01,1,ResidenceStreetAddress,1725,,,PINE,ST,,,,,,MONTGOMERY,AL,36106,,,,,,,,,,,,,,,,,,1725,,,PINE,ST,,,,,,MONTGOMERY,AL,36106,,,,,,,,,,,,1725,,,PINE,ST,,,,MONTGOMERY,AL,36106,,,,,,,,,,,Montgomery,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,1637739,,,,,,0
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,AL - Birmingham,21,14541.71,8702.52,7685.95,7,USCGeocoder,46.8485,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3639.24947343738,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,32.6380740435672,-85.4054807032928,Exact,TwoThousandTen,57048,0580,,90162,0,12220,3013,3,0413.00,081,01,1,ResidenceStreetAddress,2000,,,PEPPERELL,PKWY,,,,,,OPELIKA,AL,36801,,,,,,,,,,,,,,,,,,2000,,,PEPPERELL,PKWY,,,,,,OPELIKA,AL,36801,,,,,,,,,,,,1910-2024,,,Pepperell,Pkwy,,,,Opelika,AL,36801,,,,,,,,,,Auburn-Opelika,Lee,3639.25,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,1570657,,,,,,0
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,AL - Birmingham,17,51169.47,11176.52,10314.64,8,USCGeocoder,234.3598,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3228.67884341249,LinearInterpolationAddressRange,StreetSegment,99.3491124260355,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,33.5061751881402,-86.8018375400892,Relaxed,TwoThousandTen,,0450,,90324,0,13820,1098,1,0045.00,073,01,1,ResidenceStreetAddress,619,,S,19TH,ST,,,,,,BIRMINGHAM,AL,35233,,,,,,,,,,,,,,,,,,619,,S,19TH,ST,,,,,,BIRMINGHAM,AL,35233,,,,,,,,,,,,601-699,,,19th,St,S,,,Birmingham,AL,35233,,,,,,,,,,Birmingham,Jefferson,3228.68,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,81576442,,,,,,0
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,AL - Birmingham,13,24860.15,8409.69,7292.46,9,USCGeocoder,968.7119,1,4.1,,,00,AddressPoint,Ambiguous,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,67.7514792899408,FeatureClassBased,ReturnAll,,AddressPoint,,,3,34.2834441,-86.6868476,Relaxed;Soundex,TwoThousandTen,,0450,,92934,1,18980,2030,2,9642.00,043,01,1,ResidenceStreetAddress,1912,,,157,,,,,,,CULLMAN,AL,35058,,,,,,,,,,,,HWY,,,,,HWY,1912,,,157,,,,,,,CULLMAN,AL,35058,,,,,,,,,,,,1912,,,1559,,,,,cullman,AL,,,,,,,,,,,,Cullman,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,674786,,,CR,,,0
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,FL - Pensacola,14,33858.42,8616,7654.85,10,USCGeocoder,125.016,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1599.52378777042,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,31.2965730017497,-86.496792451169,Exact,TwoThousandTen,01708,,,90090,,,2012,2,9618.00,039,01,1,ResidenceStreetAddress,849,,S,THREE NOTCH,ST,,,,,,ANDALUSIA,AL,36420,,,,,,,,,,,,,,,,,,849,,S,THREE NOTCH,ST,,,,,,ANDALUSIA,AL,36420,,,,,,,,,,,,899-811,,S,Three Notch,St,,,,Andalusia,AL,36420,,,,,,,,,,Andalusia,Covington,1599.52,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,1853941,,,,,,0
