DRGDefinition,ProviderId,ProviderName,ProviderStreetAddress,ProviderCity,ProviderState,ProviderZipCode,HospitalReferralRegionDescription,TotalDischarges,AverageCoveredCharges,AverageTotalPayments,AverageMedicarePayments,AUTO_UNIQUE_ID_2018-07-03_kojoball41_419,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,CensusYear,CensusPlaceFips,CensusMsaFips,CensusMetDivFips,CensusMcdFips,CensusCbsaMicro,CensusCbsaFips,CensusBlock,CensusBlockGroup,CensusTract,CensusCountyFips,CensusStateFips,naaccrCertCode,naaccrCertType,MNumber,MNumberFractional,MPreDirectional,MName,MSuffix,MPostDirectional,MSuiteType,MSuiteNumber,MPostOfficeBoxType,MPostOfficeBoxNumber,MCity,MState,MZip,MZipPlus1,MZipPlus2,MZipPlus3,MZipPlus4,MZipPlus5,MPreQualifier,MPostQualifier,MConsolidatedCity,MMinorCivilDivision,MCountySubRegion,MCounty,MPreType,MPreArticle,MPostArticle,PPostArticle,PPreArticle,PPreType,PNumber,PNumberFractional,PPreDirectional,PName,PSuffix,PPostDirectional,PSuiteType,PSuiteNumber,PPostOfficeBoxType,PPostOfficeBoxNumber,PCity,PState,PZip,PZipPlus1,PZipPlus2,PZipPlus3,PZipPlus4,PZipPlus5,PPreQualifier,PPostQualifier,PConsolidatedCity,PMinorCivilDivision,PCountySubRegion,PCounty,FNumber,FNumberFractional,FPreDirectional,FName,FSuffix,FPostDirectional,FSuiteType,FSuiteNumber,FCity,FState,FZip,FZipPlus1,FZipPlus2,FZipPlus3,FZipPlus4,FZipPlus5,FPreQualifier,FPostQualifier,FConsolidatedCity,FMinorCivilDivision,FCountySubRegion,FCounty,FArea,FAreaType,FGeometry,FSource,FVintage,FPostOfficeBoxType,FPostOfficeBoxNumber,FPrimaryIdField,FPrimaryIdValue,FSecondaryIDField,FSecondaryIDValue,FPreType,FPreArticle,FPostArticle,FGeometrySRID
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,15,26190.13,6612.4,5635.6,1,USCGeocoder,109.3997,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5148.23313145246,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,31.215438277018,-85.361515779945,Exact,TwoThousandTen,,0450,,90900,0,20020,1047,1,0410.00,069,01,1,ResidenceStreetAddress,1108,,,ROSS CLARK,CIR,,,,,,DOTHAN,AL,36301,,,,,,,,,,,,,,,,,,1108,,,ROSS CLARK,CIR,,,,,,DOTHAN,AL,36301,,,,,,,,,,,,1100-1138,,,Ross Clark,Cir,,,,Dothan,AL,36301,,,,,,,,,,Dothan,Houston,5148.23,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,101238843,,,,,,0
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,AL - Birmingham,16,22091.5,6373.5,5526.5,2,USCGeocoder,109.3665,1,4.1,,,09,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,36407403.1181414,ArealInterpolationGeometricCentroid,ZCTA,60,FeatureClassBased,ReturnAll,,ZCTACentroid,,,1,33.6241096635297,-86.6483337528106,Relaxed;Soundex,TwoThousandTen,,0450,,90324,0,13820,6035,6,0111.04,073,01,4,ResidenceZIP,50,,,MEDICAL PARK EAST,DR,,,,,,BIRMINGHAM,AL,35235,,,,,,,,,,,,,,,,,,50,,,MEDICAL PARK EAST,DR,,,,,,BIRMINGHAM,AL,35235,,,,,,,,,,,,,,,,,,,,,AL,35235,,,,,,,,,,,,36407403.12,Meters,,SOURCE_CENSUS_2010_ZCTAS,2010,,,zcta5ce10,35235,,,,,,0
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,AL - Birmingham,19,34197.31,6497.73,5607.42,3,USCGeocoder,78.1164,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,33.2521497,-86.8134874,Exact,TwoThousandTen,,0450,,90036,0,13820,1023,1,0303.19,117,01,1,ResidenceStreetAddress,1000,,,FIRST,ST,N,,,,,ALABASTER,AL,35007,,,,,,,,,,,,,,,,,,1000,,,FIRST,ST,N,,,,,ALABASTER,AL,35007,,,,,,,,,,,,1000,,,1ST,ST,N,,,ALABASTER,AL,35007,,,,,,,,,,,Shelby,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,1867419,,,,,,0
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,AL - Birmingham,13,18194,6320.15,5009.46,4,USCGeocoder,93.752,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3116.56895585201,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,34.7458918501208,-87.6989907506798,Exact,TwoThousandTen,69648,2650,,93186,0,22520,2070,2,0203.00,033,01,1,ResidenceStreetAddress,1300,,S,MONTGOMERY,AVE,,,,,,SHEFFIELD,AL,35660,,,,,,,,,,,,,,,,,,1300,,S,MONTGOMERY,AVE,,,,,,SHEFFIELD,AL,35660,,,,,,,,,,,,1200-1398,,S,Montgomery,Ave,,,,Sheffield,AL,35660,,,,,,,,,,Tri-Cities,Colbert,3116.57,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,40759959,,,,,,0
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,AL - Montgomery,12,23279.33,7849.58,7008.58,5,USCGeocoder,125.0037,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,99.4674556213018,FeatureClassBased,ReturnAll,,AddressPoint,,,1,32.3276136,-86.277476,Relaxed,TwoThousandTen,51000,5240,,92214,0,33860,2016,2,0020.00,101,01,1,ResidenceStreetAddress,2105,,E,SOUTH,BLVD,,,,,,MONTGOMERY,AL,36116,,,,,,,,,,,,,,,,,,2105,,E,SOUTH,BLVD,,,,,,MONTGOMERY,AL,36116,,,,,,,,,,,,2105,,E,SOUTH,BLVD,,,,MONTGOMERY,AL,36111,,,,,,,,,,,Montgomery,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,1687107,,,,,,0
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,AL - Montgomery,15,29879,6970.66,4842,6,USCGeocoder,78.1365,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,32.3669282,-86.2851162,Exact,TwoThousandTen,51000,5240,,92214,0,33860,2035,2,0006.00,101,01,1,ResidenceStreetAddress,1725,,,PINE,ST,,,,,,MONTGOMERY,AL,36106,,,,,,,,,,,,,,,,,,1725,,,PINE,ST,,,,,,MONTGOMERY,AL,36106,,,,,,,,,,,,1725,,,PINE,ST,,,,MONTGOMERY,AL,36106,,,,,,,,,,,Montgomery,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,1637739,,,,,,0
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,AL - Birmingham,12,12509.75,6682.16,5744.16,7,USCGeocoder,62.4878,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3639.24947343738,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,32.6380740435672,-85.4054807032928,Exact,TwoThousandTen,57048,0580,,90162,0,12220,3013,3,0413.00,081,01,1,ResidenceStreetAddress,2000,,,PEPPERELL,PKWY,,,,,,OPELIKA,AL,36801,,,,,,,,,,,,,,,,,,2000,,,PEPPERELL,PKWY,,,,,,OPELIKA,AL,36801,,,,,,,,,,,,1910-2024,,,Pepperell,Pkwy,,,,Opelika,AL,36801,,,,,,,,,,Auburn-Opelika,Lee,3639.25,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,1570657,,,,,,0
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,AL - Birmingham,15,31067.66,8508.2,7604.73,8,USCGeocoder,249.9795,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3228.67884341249,LinearInterpolationAddressRange,StreetSegment,99.3491124260355,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,33.5061751881402,-86.8018375400892,Relaxed,TwoThousandTen,,0450,,90324,0,13820,1098,1,0045.00,073,01,1,ResidenceStreetAddress,619,,S,19TH,ST,,,,,,BIRMINGHAM,AL,35233,,,,,,,,,,,,,,,,,,619,,S,19TH,ST,,,,,,BIRMINGHAM,AL,35233,,,,,,,,,,,,601-699,,,19th,St,S,,,Birmingham,AL,35233,,,,,,,,,,Birmingham,Jefferson,3228.68,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,81576442,,,,,,0
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,AL - Huntsville,21,29531.38,7404.33,5740.19,9,USCGeocoder,93.7511,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,97.6331360946746,FeatureClassBased,ReturnAll,,AddressPoint,,,1,34.72092,-86.5805798,Relaxed,TwoThousandTen,,0450,,91674,0,26620,3068,3,0031.00,089,01,1,ResidenceStreetAddress,101,,,SIVLEY,RD,,,,,,HUNTSVILLE,AL,35801,,,,,,,,,,,,,,,,,,101,,,SIVLEY,RD,,,,,,HUNTSVILLE,AL,35801,,,,,,,,,,,,101,,,SIVLEY,RD,SW,,,Huntsville,AL,35801,,,,,,,,,,,MADISON,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,341786,,,,,,0
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,AL - Birmingham,26,69747.34,6126.61,5301.84,10,USCGeocoder,62.4891,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,12104.828968592,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,34.0093445368332,-85.9709512606732,Exact,TwoThousandTen,28696,2880,,91278,0,23460,1014,1,0112.00,055,01,1,ResidenceStreetAddress,1007,,,GOODYEAR,AVE,,,,,,GADSDEN,AL,35903,,,,,,,,,,,,,,,,,,1007,,,GOODYEAR,AVE,,,,,,GADSDEN,AL,35903,,,,,,,,,,,,901-1099,,,Goodyear,Ave,,,,Gadsden,AL,35903,,,,,,,,,,Gadsden,Etowah,12104.83,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,66772490,,,,,,0
