DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,26,42380.07,10145.8,9046.23
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,AL - Birmingham,15,19605.13,9935.4,9031.93
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,AL - Birmingham,19,40141.31,9071.05,8184.1
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10010,MARSHALL MEDICAL CENTER NORTH,8000 ALABAMA HIGHWAY 69,GUNTERSVILLE,AL,35976,AL - Huntsville,11,26315.81,8841.27,8329.63
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,AL - Birmingham,15,26493.26,8908.73,7985.2
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,AL - Birmingham,11,50721,9443.09,8519.81
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,AL - Birmingham,18,21616.61,9153.88,8039.44
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,AL - Montgomery,16,39192.56,9176.37,7229.06
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,AL - Birmingham,12,21379.66,9703.33,8768
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,AL - Birmingham,11,66541.36,9025.18,7290.63
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,AL - Huntsville,27,47203.96,10196.51,8953.03
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,AL - Birmingham,25,92185.32,9407.24,7423.88
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,AL - Birmingham,13,65151,8886.84,7846.84
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,AL - Dothan,23,64990.52,9565.69,8224.47
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,AL - Birmingham,16,28607.62,9240.68,7641.87
