DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments
552 - MEDICAL BACK PROBLEMS W/O MCC,50128,TRI-CITY MEDICAL CENTER,4002 VISTA WAY,OCEANSIDE,CA,92056,CA - San Diego,14,26610.85,5970.57,5007.14
552 - MEDICAL BACK PROBLEMS W/O MCC,50764,SHASTA REGIONAL MEDICAL CENTER,1100 BUTTE ST,REDDING,CA,96001,CA - Redding,29,36127.31,6305.17,5219.93
552 - MEDICAL BACK PROBLEMS W/O MCC,60001,NORTH COLORADO MEDICAL CENTER,1801 16TH STREET,GREELEY,CO,80631,CO - Greeley,48,20543.02,5454.12,4252.91
552 - MEDICAL BACK PROBLEMS W/O MCC,100009,UNIVERSITY OF MIAMI HOSPITAL,1400 NW 12TH AVE,MIAMI,FL,33136,FL - Miami,37,40265.86,6362.72,5466.67
552 - MEDICAL BACK PROBLEMS W/O MCC,100012,LEE MEMORIAL HOSPITAL,2776 CLEVELAND AVE,FORT MYERS,FL,33901,FL - Fort Myers,83,20712.84,4889.45,3755.37
552 - MEDICAL BACK PROBLEMS W/O MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,39,23609.25,4787.15,3369.56
552 - MEDICAL BACK PROBLEMS W/O MCC,10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,AL - Birmingham,36,19366.55,4344.94,3391.36
552 - MEDICAL BACK PROBLEMS W/O MCC,10010,MARSHALL MEDICAL CENTER NORTH,8000 ALABAMA HIGHWAY 69,GUNTERSVILLE,AL,35976,AL - Huntsville,16,9332.43,4136.37,3295.37
552 - MEDICAL BACK PROBLEMS W/O MCC,10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,AL - Birmingham,17,17363.94,4306.35,3052.58
552 - MEDICAL BACK PROBLEMS W/O MCC,10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,AL - Birmingham,16,25184.81,4529.62,3619.87
552 - MEDICAL BACK PROBLEMS W/O MCC,10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,AL - Birmingham,14,13572.5,4452.21,3486.5
552 - MEDICAL BACK PROBLEMS W/O MCC,10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,AL - Montgomery,32,20972.84,5630.9,4483.71
552 - MEDICAL BACK PROBLEMS W/O MCC,10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,AL - Montgomery,41,15032.53,4990.14,3434.43
552 - MEDICAL BACK PROBLEMS W/O MCC,10025,GEORGE H. LANIER MEMORIAL HOSPITAL,4800 48TH ST,VALLEY,AL,36854,AL - Birmingham,13,9242.15,4882.3,4016.46
552 - MEDICAL BACK PROBLEMS W/O MCC,10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,AL - Birmingham,24,9117.33,4751.12,3697.79
552 - MEDICAL BACK PROBLEMS W/O MCC,10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,AL - Birmingham,39,26129.17,6267.92,4123.53
552 - MEDICAL BACK PROBLEMS W/O MCC,10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,AL - Birmingham,14,17670.21,4346.28,3463.71
552 - MEDICAL BACK PROBLEMS W/O MCC,10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,FL - Pensacola,11,11690.54,4606,3585.63
552 - MEDICAL BACK PROBLEMS W/O MCC,10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,AL - Birmingham,16,21051.25,4270.75,3137.12
552 - MEDICAL BACK PROBLEMS W/O MCC,10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,AL - Huntsville,76,26167.23,5055.78,3917.42
552 - MEDICAL BACK PROBLEMS W/O MCC,10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,AL - Birmingham,15,38813.53,4348.26,3337.86
552 - MEDICAL BACK PROBLEMS W/O MCC,10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,AL - Birmingham,21,31318.8,4487.38,3180.38
552 - MEDICAL BACK PROBLEMS W/O MCC,10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,AL - Dothan,12,18480.25,4107.08,3080.08
552 - MEDICAL BACK PROBLEMS W/O MCC,10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,AL - Dothan,35,23773.62,4373.68,3420.2
552 - MEDICAL BACK PROBLEMS W/O MCC,10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,AL - Birmingham,33,13686.15,4063.42,3170.96
